uid,taskId,task,group,time,team,member,item,start,ending,status
327dfcc7-c01a-4fec-abb6-b934f67a6d98,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,25085,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00009,103833,134250,UNDECIDABLE
cc9b307c-34fc-459d-9f1a-0970fdcb789c,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,26024,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00136,413000,427280,CORRECT
46f651e3-8838-452b-9a97-b1053d8835fe,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,27482,Exquisitor,42117506-5959-4155-bbb8-3f0f31fec35b,00009,6041,36333,CORRECT
ee93e8f2-4fc3-42a2-b2ac-0d0bf8c54ef3,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,27924,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00148,548548,552468,CORRECT
163edec3-b187-4fc7-ad91-81d876c7f3e9,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,30555,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00337,533480,547480,WRONG
64eced56-5324-4481-89db-59d68756e553,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,31126,vitrivr,17ec1178-3954-42ed-bf0f-cb7b3244a483,02467,255171,262428,WRONG
0e385a65-b7c8-4c9d-b994-94d407164835,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,31150,vitrivr-VR,f23f37e6-2976-4bbb-8cdc-2ff0351947ff,09994,140540,141207,CORRECT
ed9728b2-0a8f-4cb2-a0b0-b5e94015df12,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,31619,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00350,146112,170136,WRONG
d78d733c-5400-427c-a0ee-9d6db6f9eb57,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,31796,vitrivr,17ec1178-3954-42ed-bf0f-cb7b3244a483,02467,295169,297505,WRONG
60f9ec45-4c73-4808-a3a3-46f0a7eba7f4,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,32393,vitrivr-VR,f23f37e6-2976-4bbb-8cdc-2ff0351947ff,02798,132880,136720,CORRECT
8a052430-748f-4876-8eaf-475894fd94ee,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,33324,ViRMA,d606bf75-4751-43a1-8fb2-9c445527b10c,00009,6041,36333,CORRECT
1ae32f62-eecf-48b8-9702-ab7fa22117f2,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,33339,IVIST,0ea1d736-7c9a-4a6d-956a-63a33a4eb650,11150,20478,28403,CORRECT
2706b58c-9516-4e08-8e35-261d3589664c,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,33448,vitrivr-VR,f23f37e6-2976-4bbb-8cdc-2ff0351947ff,14350,295160,295560,CORRECT
5fd99eb3-2ffb-4cba-9ebf-a41039241dee,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,33608,Exquisitor,42117506-5959-4155-bbb8-3f0f31fec35b,00009,36375,66958,CORRECT
8ef771b4-297c-42ae-b84a-dcf399f4c279,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,34001,diveXplore,9877cb17-41ab-4dad-bfd0-99242933d7da,00361,132880,135880,CORRECT
d8b6ad1a-b4b7-490f-ae4f-36c8219afdd8,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,34115,vitrivr-VR,f23f37e6-2976-4bbb-8cdc-2ff0351947ff,12050,573040,585520,CORRECT
ea798f85-b9f2-4e53-8b8b-bb83941b7a86,e417ec01-0e2d-4794-880e-f212f850abaa,vbs22-avs-01,VBS2022-AVS,34376,VERGE,930548c8-c136-4946-b67e-392ff3937475,14777,324000,348200,CORRECT
